rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
207,frame_0212.jpg,84.8,0.3399,0.3541,0.1429,0.6,2,1,False,False
208,frame_0325.jpg,130.0,0.3387,0.5757,0.1429,0.04,2,1,False,False
209,frame_0223.jpg,89.2,0.337,0.4386,0.2857,0.16,6,2,False,False
210,frame_0268.jpg,107.2,0.3363,0.3834,0.4286,0.08,5,3,False,False
211,frame_0201.jpg,80.4,0.3361,0.2767,0.2857,0.56,4,2,False,False
212,frame_0206.jpg,82.4,0.3361,0.2824,0.1429,0.76,2,1,False,False
213,frame_0194.jpg,77.6,0.3352,0.387,0.2857,0.28,5,2,False,False
214,frame_0222.jpg,88.8,0.3351,0.333,0.4286,0.2,6,3,False,False
215,frame_0195.jpg,78.0,0.3347,0.3699,0.2857,0.32,3,2,False,False
216,frame_0321.jpg,128.4,0.333,0.4146,0.2857,0.2,5,2,False,False
217,frame_0119.jpg,47.6,0.3276,0.2917,0.2857,0.48,4,2,False,False
218,frame_0196.jpg,78.4,0.3273,0.4248,0.1429,0.36,2,1,False,False
219,frame_0082.jpg,32.8,0.3252,0.2927,0.1429,0.68,3,1,False,False
220,frame_0199.jpg,79.6,0.3218,0.3658,0.1429,0.48,1,1,False,False
221,frame_0381.jpg,152.4,0.3208,0.3684,0.4286,0.04,6,3,False,False
222,frame_0097.jpg,38.8,0.3196,0.4358,0.2857,0.08,5,2,False,False
223,frame_0272.jpg,108.8,0.3195,0.4356,0.2857,0.08,3,2,False,False
224,frame_0197.jpg,78.8,0.3171,0.3884,0.1429,0.4,1,1,False,False
225,frame_0181.jpg,72.4,0.3151,0.357,0.4286,0.04,5,3,False,False
226,frame_0323.jpg,129.2,0.3142,0.3232,0.4286,0.12,6,3,False,False
227,frame_0203.jpg,81.2,0.3141,0.2865,0.1429,0.64,3,1,False,False
228,frame_0113.jpg,45.2,0.3107,0.354,0.2857,0.24,6,2,False,False
229,frame_0081.jpg,32.4,0.3097,0.2457,0.1429,0.72,5,1,False,False
230,frame_0204.jpg,81.6,0.3081,0.2584,0.1429,0.68,2,1,False,False
231,frame_0383.jpg,153.2,0.303,0.3866,0.2857,0.12,5,2,False,False
232,frame_0085.jpg,34.0,0.2998,0.2898,0.1429,0.56,5,1,False,False
233,frame_0370.jpg,148.0,0.2992,0.3253,0.4286,0.04,6,3,False,False
234,frame_0179.jpg,71.6,0.2981,0.2911,0.4286,0.12,5,3,False,False
235,frame_0101.jpg,40.4,0.2971,0.4764,0.1429,0.08,4,1,False,False
236,frame_0221.jpg,88.4,0.2947,0.3219,0.2857,0.24,4,2,False,False
237,frame_0382.jpg,152.8,0.2857,0.368,0.2857,0.08,5,2,False,False
238,frame_0118.jpg,47.2,0.2849,0.308,0.1429,0.44,3,1,False,False
239,frame_0267.jpg,106.8,0.284,0.3485,0.2857,0.12,4,2,False,False
240,frame_0190.jpg,76.0,0.2793,0.3391,0.2857,0.12,4,2,False,False
241,frame_0215.jpg,86.0,0.2772,0.2766,0.1429,0.48,3,1,False,False
242,frame_0391.jpg,156.4,0.2718,0.3561,0.2857,0.04,7,2,False,False
